year,avgPrice
20180118,3382
20180119,3413
20180122,3394
20180123,3371
20180124,3359
20180125,3322
20180126,3322
20180129,3329
20180130,3345
20180131,3373
20180201,3363
20180202,3356
20180205,3376
20180206,3402
20180207,3421
20180208,3462
20180209,3462
20180212,5005
20180213,5046
20180214,5042
20180219,6938
20180220,6969
20180221,6814
20180222,6725
20180223,6509
20180226,6461
20180227,6462
20180228,6313
20180302,6066
20180305,6106
20180306,6029
20180307,6029
20180308,6138
20180309,6083
20181015,5022
20181016,4961
20181017,4889
20181018,4432
20181019,4387
20181022,4276
20181023,4289
20181024,4148
20181025,3972
20181026,3906
20181029,3688
20181030,3653
20181031,3564
20181101,3497
20181102,3399
20181105,3262
20181106,3253
20181107,3266
20181108,3289
20181109,3260
20181112,3245
20181113,3230
20181114,3208
20181115,2990
20181116,2987
20181119,2984
20181120,2960
20181121,2972
20181122,3132
20181123,3113
20181126,3153
20181127,3138
20181128,3139
20181129,2942
20181130,2861
20181203,2858
20181204,2858
20181205,2842
20181206,2900
20181210,2917
20181211,2917
20181212,2917
20181213,2904
20181214,2899
20181217,2899
20181218,2922
20181219,2922
20181220,3019
20181221,3019
20181224,2992
20181226,2990
20181227,3114
20181228,3101
20181231,3090
20190102,3091
20190103,3106
20190104,3104
20190107,3117
20190108,3117
20190109,3117
20190110,3131
20190111,3136
20190114,3134
20190115,3146
20190116,3104
20190117,3122
20190118,3189
20190121,3171
20190122,3172
20190123,3171
20190124,3135
20190125,3144
20190128,3072
20190129,3056
20190130,3056
20190131,3145
20190201,3218
20190207,3193
20190208,3222
20190211,3261
20190212,3275
20190213,3275
20190214,3294
20190215,3294
20190218,5786
20190219,5678
20190220,5678
20190221,5558
20190222,5505
20190225,5477
20190226,5434
20190227,5528
20190228,5296
20190304,5342
20190305,5300
20190306,5267
20190307,5170
20190308,5192
20190311,5344
20190312,5419
20190313,5338
20190314,5553
20190315,5574
20190318,5628
20190319,5636
20190320,5567
20191011,5969
20191014,5995
20191015,5569
20191016,5257
20191017,4843
20191018,4773
20191021,4779
20191022,4570
20191023,4388
20191024,4352
20191025,4216
20191028,4118
20191029,4001
20191030,4013
20191031,3637
20191101,3150
20191104,3131
20191105,3157
20191106,3135
20191107,2998
20191108,2984
20191111,3032
20191112,2987
20191113,2975
20191114,2897
20191115,2897
20191118,2850
20191119,2842
20191120,2853
20191121,2840
20191122,2831
20191125,2829
20191126,2793
20191127,2799
20191128,2638
20191129,2623
20191202,2660
20191203,2666
20191204,2664
20191205,2691
20191209,2713
20191210,2718
20191211,2693
20191212,2647
20191213,2645
20191216,2641
20191217,2641
20191218,2653
20191219,2614
20191220,2617
20191223,2621
20191224,2618
20191226,2569
20191227,2569
20191230,2574
