year,avgTemp,maxTemp,minTemp,rainFall,avgPrice
20150312,8.8,12.7,5.5,0,2498
20150313,10.9,14,6.9,0,3388
20150316,14.5,19.4,10.4,0,3363
20150317,16.5,20.7,10.9,0,3464
20150318,15.1,17.6,12.2,113,3502
20150319,13.1,15.3,11.4,2,3502
20150320,14.1,18.9,11.2,0.5,3468
20150323,11.7,15.8,9.6,0,3447
20150324,10,14.2,7.2,0,3447
20150325,9.4,13.6,5,0,3500
20150326,9.7,15.1,4.1,0,3412
20150327,10.6,13.3,7.3,1,3536
20150330,15.2,17.6,12.1,0,3551
20150331,16.2,17.4,14.2,61.5,3494
20150401,14.9,16.8,13.3,1,3482
20150402,15.9,18.9,13,5,3482
20150403,14.5,18.2,12.6,16,3564
20150406,13.5,14.9,12.5,30,3562
20150407,12.7,15.3,11.3,0.1,3562
20150408,11.9,16,10.2,0,3562
20150409,12.5,16.5,9.4,0,3638
20150410,13.4,17.1,9.7,0,3638
20151016,18.9,22.8,15,0,3839
20151019,19.4,23.9,15.1,0,3771
20151020,20.2,25.5,14.9,0,3713
20151021,20.6,24.9,17.7,0,3669
20151022,20.5,23.4,17.3,0,3306
20151023,19.5,23.2,17.1,0,3292
20151026,18.6,21.7,16,0,3264
20151027,18.1,22.1,13.6,5.4,3211
20151028,16.1,20.6,12.1,0,3187
20151029,16.3,19.1,12.8,0,2946
20151030,15.5,18.9,11.8,0.4,2935
20151102,14.5,20.3,10.5,0,2739
20151103,15.4,19.4,11.5,0,2653
20151104,17.6,21.2,14,0,2608
20151105,19.2,21.2,17,0,2333
20151106,19.7,22.6,17.9,2.2,2294
20151109,17,19.4,13.7,0,2320
20151110,14.3,17.4,12,0,2285
20151111,16.2,19.3,12.2,0,2271
20151112,17.4,19.8,15.6,2.2,2101
20151113,17.6,18.9,15.8,112.7,2100
20151116,17.5,20.3,13.9,8,2095
20151117,17.7,20.8,15.8,2.4,2105
20151118,16.5,18.7,14.1,16.3,2108
20151119,15.3,16.5,14,10.4,2346
20151120,16.3,19.3,14.2,0,2347
20151123,16.6,17.9,15.1,10.9,2374
20151124,15.5,17.7,13.1,0,2376
20151125,11.3,15.1,6.3,7.6,2384
20151126,5,8.1,2.1,1.1,2261
20151127,7.1,9.6,2.5,0.2,2227
20151130,12.3,17.3,8.3,0,2242
20151201,12.3,15.6,9.4,0,2190
20151202,13.6,18.1,9.5,1.8,2212
20151203,7.7,10.4,4.9,4.8,2144
20151207,10.2,14.6,6.4,0,2142
20151208,10.7,14.5,6.9,0,2142
20151209,14.2,17.6,9.1,0,2142
20151210,15.6,16.7,14.3,50.3,2117
20151211,13.1,15.5,11.4,3.8,2112
20151214,12.9,13.7,12.2,19.1,2151
20151215,11.3,15.1,7.2,0,2165
